perturbation,parameter,value,samples,mean_ssim,std_ssim,min_ssim,max_ssim
Gaussian Noise,variance,0.001,12,0.8196020523707072,0.002581696448673999,0.8140311241149902,0.823246419429779
Gaussian Noise,variance,0.002,12,0.7211555043856303,0.004556496918620407,0.7112093567848206,0.7283777594566345
Gaussian Noise,variance,0.005,12,0.5664980908234915,0.0059479049148281025,0.5559743046760559,0.5752351880073547
Gaussian Noise,variance,0.01,12,0.4496961832046509,0.006503727462043359,0.4385470449924469,0.4618326723575592
Gaussian Noise,variance,0.02,12,0.3455305869380633,0.005229496113427952,0.3360119163990021,0.35524559020996094
Gaussian Noise,variance,0.05,12,0.2312274860839049,0.005661132314548848,0.22148950397968292,0.2387450486421585
Gaussian Noise,variance,0.1,12,0.16347813606262207,0.004250980749435794,0.15629996359348297,0.172358438372612
Brightness,factor,1.0,12,1.0,0.0,1.0,1.0
Brightness,factor,0.9,12,0.9911314944426218,2.3563503966931095e-05,0.9910860061645508,0.9911653399467468
Brightness,factor,0.8,12,0.9613189647595087,0.0001050298829484512,0.961117684841156,0.9614681601524353
Brightness,factor,0.7,12,0.9059701710939407,0.0002578788959055513,0.905480682849884,0.9063329100608826
Brightness,factor,0.6,12,0.8216685056686401,0.0004851569774492376,0.8207572102546692,0.8223445415496826
Brightness,factor,0.5,12,0.7076709121465683,0.0007675693143738482,0.7062444686889648,0.708731472492218
Brightness,factor,0.4,12,0.5676271369059881,0.0010507358141288213,0.5656933784484863,0.5690688490867615
Brightness,factor,0.3,12,0.41086770345767337,0.0012381567170737498,0.4086078703403473,0.41255834698677063
