Metric,Value
Calibration-Derived Threshold,0.6378008697626796
Calibration Youden's J,1.0
Calibration Defect Sensitivity,1.0
Calibration Good Specificity,1.0
Calibration Class Gap,0.3697677373926899
Calibration Applied,1.0
Platt Slope,1.397498726782255
Platt Intercept,2.0635852089027753
Calibration Brier Raw,0.04165996211452703
Calibration Brier Final,0.008884720590682968
Calibration ECE Raw,0.1465891164689841
Calibration ECE Final,0.037910619701059876
Accuracy,0.9318181818181818
Defect Sensitivity,1.0
Good Specificity,0.9142857142857143
Defect Precision,0.75
Defect F1-Score,0.8571428571428571
MCC,0.8280786712108251
Brier Score,0.022083334906776466
AUC,1.0
Leaked Defects,0.0
Leaked Defect Rate,0.0
False Alarms,3.0
False Alarm Rate,0.08571428571428572
Operational Review Band,0.1
Uncertainty %,0.09090909090909091
Wilson_Low,0.8177467866338279
Wilson_High,0.9765410298271597
BSS,0.8642751226047007
ECE,0.04708207647825069
